LN0001,ST001ACC,N001,2026-04-10,2026-04-24,null,false
LN0002,ST001ACC,M001,2026-04-10,2026-04-24,null,false
LN0003,ST001DCS,M002,2026-04-11,2026-04-25,2026-04-11,true
LN0004,ST001,M005,2026-04-11,2026-04-25,2026-04-11,true
LN0005,ST001,M002,2026-04-12,2026-04-26,2026-04-12,true
LN0006,ST002,N001,2026-04-12,2026-04-26,2026-04-16,true
LN0007,ST001,N005,2026-04-12,2026-04-26,null,false
LN0008,F002,N001,2026-04-16,2026-05-16,2026-04-16,true
LN0009,ST002,N007,2026-04-16,2026-04-30,2026-04-16,true
LN0010,ST002,M001,2026-04-16,2026-04-30,null,false
